name,latitude,longitude,address,rating,review
Taman Pintar Yogyakarta,-7.8006715,110.3676551,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",4.5,"Such a good place for kids to explore science and others here. From biology to physics, history to gamelan. Visitors can touch and feel. The park is free for everyone, it was a nice place to chill and relax. I''m sure kids like to be here especially for those who likes dinosaurs and curious with a lot of things - Wow, this is the place for you to find a decent, affordable, entertaining, near city center, all in one for the family. In here your kids can learn many things: art, tech, outer space, engineering, etc. They can also play in these places. The parents can enjoy foods in lots of food stalls here. - September 2022 => admission price is 20,000 for adults and 12,000 for children.   This is a nice place to play and learn with a low price, If you come on weekdays you will often meet groups of elementary school or kindergarten children. There are many interactive and educative games, but they look very dull and need more maintenance, some of the games are damaged and not operating. Children can play indoor and outdoor, there are also cafetaria on the ground floor. - I''ve gone to this place when it was Iedul Fitri holiday. My family had a quality time there. Taman Pintar was the best place I''ve ever visited. My kids also had the best impression and experience there, they were very happy when they visited this place. There,we could play,learn and explore anything. Taman Pintar was completed by Science and high technology. The place was so nice,exciting and wonderful. Thus, I reccommend you to visit this place..the Ticket price was very cheap. This place near to Malioboro, just takes 15 minutes walk..It was so fun guys..😍😍😍 - Good educational place for students range from child to teens. There are tons of fun to learn if the experimental device are available,, but unfortunately during this pandemic era, there a lot devices are prohibited or broken."
The Palace of Yogyakarta,-7.8052845,110.3642031,"Jl. Rotowijayan Blok No. 1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",4.6,"Amazing palace.

I visited the palace in Feb 2020, and I still remember it until today.

It is an ideal place to know Javanese culture, enjoy the traditional dance and gamelan.

In addition, a visitor can know the brave Sultan’s contribution in 1825-1830, and also can learn the importance role Yogyakarta played in struggling for the independence of Indonesia.

The entrance fee is just nominal, only 10k.

Everywhere is worth seeing, everyone behaves with courtesy.

Thanks Sultan’s family for providing us visitor such a good opportunity to have a good time in this palace in Yogyakarta.😊🙏 - I guess this place is one of the top want-to-visit sites in your list in Yogyakarta. Little bit too wide to look around thoroughly but you can feel quietness and coolness inside.

It''s almost like an open-air park. I don''t know whether it''s really worth visiting for all, but only if you have a bit or more of curiosity on Indonesian culture, maybe it''s worth spending some time on it and tick the list.

Some places are not allowed to even enter, but it seems okay to enter into because it is just open. As a result, a staff runs to me and gets very angry in Indonesian language. You''d better show a warning sign in English!

If you want to take some photos, it costs you Rp. 1000.

There is an official guide you can hire for free, but mine was non-English speaker. If an English-speaking guide, my experience was more exciting? - The palace seems to be grouped into two paid sections. Both cost 15 K to enter. The first includes the royal carriages and an inside area with some artefacts. This is located opposite the parade ground. Going to the second palace, it includes more of the outside areas which will entertain some people. It''s all oddly cool on the second location outside - We came here on Sunday, so many people there. But we enjoyed it. Great historical place to visit, love the ambience. Recommend to bring your kids here, so they can learn the culture. - Great historical place to visit, love the ambience. Recommend to bring your kids here. It is crowded during weekends or public holiday."
Taman Pelangi Jogja,-7.7503027,110.3694988,"Jl. Ring Road Utara, Jongkang, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",4.3,"I got confused with their name, sometimes I call it Taman Lampion because so many lampions here. 😂
This place oftenly busy with local tourists, and to go inside doesn''t cost much, but if you and your family want to try each of the attractions here, you need to spend more money here. They have many options like a trampolin, boom boom car, etc. The food options here also many but the taste quite average. - One of the best places in Jogja for hanging out at night with family and friends. The area is relatively large and has many ""glowing"" installations to please the eyes (especially children). Almost everything is good but I think the management guys should put on some lights on the monument itself at night to make it more standout and eye catching. - Nice place to hangout with family at night. There is various latern with unique color and shape, my son realy like. But some lantern has broken in view part,you need to be careful since the electricity still running

There is a food court with affordable price. It also has various menu, like fried rice, mie jawa, sosis, bakso.

You could find another facilities like bombomcar, trampolin , kid train, feeding rabbit,  sepeda gowes. You need to pay the ticket first (start from 20rb/person).

The entrance ticket to Taman Pelangi is 15rb/person in weekdays. 20rb/person in Friday-Sunday. Car ticket park 3rb, motorcycle ticket 2rb

Only a few toilet is opened and its not realy clean. Large parking area,you don''t need to worry. - Pretty cheap destination with such a large area full with varies of themes and lights.. Fun and attractive to see many lampions, to take photos and see the beautiful setting of the areas.. Recommended to visit at night at the city - This place is in the Monumen Jogja Kembali (Monjali) area. Not too far from Jogja Kota you can visit here using gojek/grab. A lot of visitor came here so you maybe queuing to take photo with the lampions. The retribution is 15.000rupiah/person."
Taman Sari,-7.8100198,110.3594647,"Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133, Indonesia",4.6,"Always wanted to visit this one. As it''s expected it feels magical somehow. I like it very much. The guide explanation is superb, you pay as you wish but please pay them enough. They take photos too! Knew the great spot. It''s clean and well taken care of as expected.

A must visit place in Jogja! - I''m in love with the view! Have to visit but not during a peak season because there were a lot of people during the school holidays. Everything was great, the weather, the color, just everything! You got to experience the Yogyakarta village after coming out of the place too, feels homey. - I will say this place amazing, because u can feel the historical, and you can also asks for a tour guide, they will tell you the history, why the building is like this and that and others. Pictures? Will be great if you took some when u are visiting. Helping strangers took pictures of them, they will be thankful for that, but dont force. - I came here on holiday with my husband. Tickets cost 5,000. It''s a historical relic. We are very happy to visit here. The guide is very well and friendly. He can explain the details about this place. Come love Indonesian heritage!! - Great little spot. I really enjoyed my time here. Unfortunately the main photo spot was “closed for covid” whatever that means 👀 but the rest was very beautiful and interesting. The tunnel was otherworldly and amazing 🤩"
Obelix Hills,-7.8063131,110.5184381,"Klumprit, Blok I & 2, Wukirharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572, Indonesia",4.6,"A great place if you want to take photos because there’s a lot of spots that are instagramable. If you want to take photos in their iconic spots you have to pay it separately (from 15k to 50k) per spots, per person.

The food here is pretty good and the price is very reasonable for a place like this. It’s not marked up a lot.

Please use sunscreen or don’t forget to bring a hat because the temperature here is pretty wild and you’ll get yourself sweat within minutes. - The view was surely breathtaking! MasyaAllah! I went there on weekdays at noon, so it''s not too crowded. The food was delicious and the price was average. The place was pretty spacious and clean.

The downside: there''s still some people who were smoking and many didn''t wear their masks properly. It''s not elderly friendly because of so many stairs.

Notes: the road was decent, but many steep inclination, so make sure your vehicle is in good condition. - A comfortable place to travel with family or camping with friends. Great view and awesome scenery. Cool atmosphere on the hill, enjoying the beauty of nature created by the Almighty God. Open until 9 pm, but for camping tours you can go until morning. - It was really such a good place, there are even some trip packages offered by them. The view, the ambience, the place are all good. You can clearly see the village below and the sunset was great but the way to go there is narrow as it''s on up hill, so you need to go all the way up and down like a mountain road, it''s already on the asphalt but the road is narrow fit two cars only but you have to be careful and sometimes one has to give in and makes way. Also many steep incline. - Good place to chill especially on sunset. They have a lot of outdoor seatings and also restaurant and cafe. You can ride the swing overlooking the hills for 30k or 50k (couple).

Would be better if it wasn''t too crowded."
Bukit Panguk Kediwung,-7.9583695,110.4407622,"Kediwung, Mangunan, Dlingo, Bantul Regency, Special Region of Yogyakarta 55783, Indonesia",4.5,"My bad luck.
Totally foggy cannot see the sun and all the view was blurry.
But still appreciate this place and it will be awesome when sun shines brightly for sure. - Great view of mountain and river from the top of the hills. Great place to do yoga. - The place is far away, access road to get there is very winding, it takes 45minutes from the city center, but the location is very beautiful, there is also a prayer room (mushola), place to eat, toilets and a large parking area. Ticket Price of admission to area is also very cheap - Went in Oct during dry season, no cloud but manage to see sunrise. Each photo spot requires to pay a fee, no trekking or hiking required, an easy walk from carpark. Have some drink or breakfast at the shop before leaving its quite a nice place to chill n enjoy the morning after sunrise. - Beautiful place. Each photo spot was charged Rp 3,000/ person (mandatory), it was worth it as the foundation for the cliff photo spots were supported with steel. There were PICs to help taking pictures. Entrance ticket Rp 2,500/ person and Rp 5,000/ car."
Hutan Pinus Mangunan,-7.9258158,110.4317585,"Jl raya Jl. Hutan Pinus Nganjir, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",4.6,"Fun place to go with friends and family. The atmosphere is calm and relax but not so quiet because many people love to come here. The trees are in good condition and there''s some nice spots to take pictures. The parking lot is wide, the site is clean, toilets here are in good shape. More importantly, the tickets are very cheap! - thought that it would be cold up here but just had some chill breeze. absolutely love the vibes, the trees, the deck, the web, the stage, all of them. clean place and definitely would love to recommend this place to friends from outside jogja. there will only be parking fee and the entrance fee is 5k/person. please consider the uphill. - Good place to relax. Walk and Sit among pine trees. Fresh air.
Entry ticket 5k idr. Better come in the morning, not too crowd. - I love the place. Not too far from Yogyakarta City. The atmosphere is really good. Nice place. Many people have their prewed photos and photoshoot here. Its a good place for someone who loves nature. One thing that bother me is the color of the trashcan. Its broght red and blue, its not blending with the atmosphere and is ruining the photos. - Paying to enter a pine forest... I really never expected to see something like that in my life before that... 🤔

• Unexpectedly, the place is quite well organized.
• The experience was fun and actually interesting.
• Many instagrammable spots to take your picture.
• a negative aspect, there were a lot of plastic waste everywhere in the nature, pretty standard for touristic places through Indonesia 🤮
• the experience was fun and appreciable as the place was very quiet during PPKM. I would definitely NEVER go there in a ""normal crowded day"", the experience must be aweful."
Hutan Pinus Pengger,-7.8712041,110.4595144,"Jl. Dlingo-Patuk, Sendangsari, Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",4.5,"Inexpensive to get in. Really strange that they also charge another ticket fee to take photos at one of the location (popular open hand).
This is a quiet and cool pine forest that you can literally explore in under 30 minutes or rest there all day (if you bring along snacks and drinks).
Certain areas are under maintenance and some places are dangerous for kids (broken steps to the treehouse).
A few shops are inside that sells food and souvenirs.
Great value for what you paid to come here.
Lots of very nice pine trees. - Nice and well maintained natural pine plantation. Very refreshing. And also an excellent place for photography. Warung is available in several spots. You can enjoy soda and their local drinks. There''s one famous ""open hand palm"" for photoshoot but you have to pay 3000 IDR. But there is also many good spots to take a photo so don''.t worry - A nice place with beautiful scenery. But the road going there need to be repaired. - A pine forest with lots of spot to take picture. Need to be noted that its higher than other spots with lots of trees so its rather cool compared to other spots and its a lot cheaper too, need to be wary for bugs though since its in a forest and if you bring kids be sure to hold them tight since there''s a lack of fence around - This is a pine plantation on a hill in Terong, Dlingo District, Bantul Regency, Yogyakarta Special Region with amazing arts installations and a beautiful night view down to the light festival from Yogyakarta City and around. There are food shops offering various dishes. Clean toilets and musholla (moslem prayer place). Inexpensive admission. Spacious parking lot."
Sindu Kusuma Edupark (SKE),-7.7672973,110.3542486,"Jl. Jambon, Kragilan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284, Indonesia",4.2,"Personally for 60k price this place was okay u can stroll everything inside with so much fun but then the main star of this place which the iconic bianglala, unfortunately it is my first time and they gave me not the best experience, ima be honest i got a little bit upset cuz we can only ride it once and i got the one with scratchy glass (the guard opened it randomly so it’s all against my will) technically i can’t see the beautiful view from above the sky. Other than that everything was pretty well average, nice experience not the best one but not the worst too - To be honest, this park was okay for IDR 60K you could ride all the attractions in the park though some were closed! If all the attractions were open, I would have given better rating! I recommend the waterpark, sepeda mabur, and the ferriswheel (note: better came to this park at the afternoon) - They have a new spot for selfies with Korean theme.
You can also borrow Hanbook for only 20K!!
They also sell some Korean Food - The place isn''t located in the main road, but still easily to reach. Parking lot is spacious.
To get inside you shall but ticket first which is varies in price depend on the privilege you''ll get inside. The cheapest one is only entrance ticket for IDR 10K and the expensive one is for IDR 65K, you''ll get to experiencing all the facilities  including swimming pool. You can find few food vendor inside, so no need fo worry if you''re hungry.
Its not too crowded when I visit, more like empty, with some rides are not operating. The place is actually good, but it''s dirty and not manage well, which make it looks rusty and abandoned, in case of some rides.
The only place where it''s crowded on my time of visit is the swimming pool, with its some big slides.
Over all, maybe if they maintenance the place better, it''ll looks well. - For you who dislike crowded amusement park, this place is recommended. It''s new and clean enough, although it has limited kind of rides. The entrance ticket is 15.000, exclude all-in tickets 70.000 for adults and 50.000 for kids under 120cm. I only pay the entrance ticket since I didn''t want to ride all. I paid the selected rides, each ranges from 10-15.000."
Tourism Zone Malioboro,-7.7982491,110.3652817,"Jl. Margo Mulyo Jl. Jend. Ahmad Yani No.106, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",4.7,"If you go to Yogyakarta, don''t forget visit here. Because many merchandise from jogja in here not expensive. And must visit Pasar Bringharjo too. If you hungry don''t worry because many restaurants and street food. Kalo kesini kalap pengen dibeli semua batiknya cantik cantik. Near Tugu Station not far, the street very clean and not far from Alun alun jogja and other place like Museum Benteng Vredeburg, Titik 0 KM. If you come Saturday night very crowded than weekdays. - Visiting this spot on my last night in Jogja. As always, it was really crowded here. A must-visit place for people who likes to romanticise Jogja. You can sit on one of the benches, processing the vibes of Malioboro, and overthinking about your life decision amidst the people who don''t really notice your presence since they''re busy minding their own business (especially if they''re tourists). - Very popular tourist shopping street with wide extended walkways flanking the vehicular road. Crowded both during the day and at night. The traffic is only one way towards the south, so heading north would take much longer time with detour and heavy jam. Long wait for hired car too, best to travel by foot or trishaw. - The heart of Yogyakarta city, so crowded at the weekend or public holiday. So much better since the government did many renovation, they provide separately building for parking motorcycles. So much better and comfort to walking around, only need to ensure and keep clean. Maybe the government can doing the same thing to the street after across railway until ""Tugu Jogja"" monument. Along this street you can saw many art worked, buy any clothes, or buy some traditional food. - its been a long time since i traveled here and not much change but i saw improvements such as the place is much bigger for pedestrian and more organized.  Jogja is one of the best city in Indonesia"
